record_type,work,canonical_scope,source,source_manga_id,source_chapter_id,raw_chapter_label,raw_title,volume,language,edition,scanlation_group_or_publisher,source_order_in_api_response,source_site_order,pages_metadata_only,is_external_url,publish_at,readable_at,observed_at_utc,endpoint_or_reference,verification_level,openability,notes
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,d7ed204c-e2d0-422d-afab-63309a846545,1,Um Soco,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,20,False,2018-04-30T17:28:27+00:00,2018-04-30T17:28:27+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/d7ed204c-e2d0-422d-afab-63309a846545],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,41eab5e1-8a6b-4af9-a589-d6c8b259e6b1,2,Caranguejo e Desempregado,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,18,False,2018-04-30T17:28:11+00:00,2018-04-30T17:28:11+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/41eab5e1-8a6b-4af9-a589-d6c8b259e6b1],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,1c512df4-312d-4e71-9946-948b5eb01de1,3,Desastre Ambulante,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,21,False,2018-04-30T17:28:00+00:00,2018-04-30T17:28:00+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/1c512df4-312d-4e71-9946-948b5eb01de1],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,3ec055ca-a6be-401a-b1c5-e5adc18f7e29,4,Malignos Habitantes do Subterrâneo,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,22,False,2018-04-30T17:27:49+00:00,2018-04-30T17:27:49+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/3ec055ca-a6be-401a-b1c5-e5adc18f7e29],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,e7a38a6e-944b-42ee-b88b-7aa81eb7f216,5,Explosão Formiguenta,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,22,False,2018-04-30T17:27:40+00:00,2018-04-30T17:27:40+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/e7a38a6e-944b-42ee-b88b-7aa81eb7f216],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,bf96a818-d0d7-4111-80e2-705050093d0b,6,Saitama,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,25,False,2018-04-30T17:27:34+00:00,2018-04-30T17:27:34+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/bf96a818-d0d7-4111-80e2-705050093d0b],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,fd10179f-6677-40d9-ba78-537eda014224,7,Invasão Misteriosa,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,18,False,2018-04-30T17:27:09+00:00,2018-04-30T17:27:09+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/fd10179f-6677-40d9-ba78-537eda014224],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,675bc486-c444-4c28-b12c-80449cd1142d,8,Esse Cara Aqui?,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,24,False,2018-04-30T17:30:28+00:00,2018-04-30T17:30:28+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/675bc486-c444-4c28-b12c-80449cd1142d],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,dbb0602b-76b9-4d38-b886-a4a33e57f8a3,8.1,200 Yens,1,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,23,False,2018-04-30T17:30:10+00:00,2018-04-30T17:30:10+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/dbb0602b-76b9-4d38-b886-a4a33e57f8a3],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
upload_observation,One-Punch Man,Tsuzuki work candidate; mapping to editorial chapter unverified,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,2238d49e-da67-48cd-a495-45ca54f1594a,9,Casa da Evolução,2,pt-br,community upload/release; edition not specified by API record,I Wish Scans,asc chapter request page order; not original site UI order,not observed,25,False,2018-04-30T17:29:59+00:00,2018-04-30T17:29:59+00:00,2026-09-22 (round 3 query; exact time not retained in JSONL),https://api.mangadex.org/chapter?manga=d8a959f7-648e-4c8d-8f23-f1f3f8e129f3&translatedLanguage%5B%5D=pt-br&limit=100&offset=0&order%5Bchapter%5D=asc&includes%5B%5D=scanlation_group [chapter metadata; chapter URL https://mangadex.org/chapter/2238d49e-da67-48cd-a495-45ca54f1594a],HTTP 200 metadata record; no chapter page opened,NOT_TESTED,"Presence in public chapter endpoint proves upload metadata only, not that content is readable now, legally redistributable, complete, canonical, or same edition. Rows with external URL point away from MangaDex."
